domain,phylum,class,order,family,genus,species,acronym,exists_in_registry,gram_stain,microorganism_code,microorganism_name
Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,species (diphtheroids),CORY_SPEC,False,p,Corynebacterium species (diphtheroids),Corynebacterium species (diphtheroids)
Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,striatum,CORY_STRI,True,p,Corynebacterium striatum,Corynebacterium striatum
Bacteria,Actinobacteriota,Actinomycetia,Mycobacteriales,Mycobacteriaceae,Corynebacterium,urealyticum sp. nov.,C_U_S_N,False,p,Corynebacterium urealyticum sp. nov.,Corynebacterium urealyticum sp. nov.
,,,,,Corynebcaterium,amycolatum,CORY_AMYCO,False,,Corynebcaterium amycolatum,Corynebcaterium amycolatum
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,(enterobacter) sakazakii,CRON_(ENT,False,,Cronobacter (enterobacter) sakazakii,Cronobacter (enterobacter) sakazakii
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,metallidurans,CUPR_META,True,,Cupriavidus metallidurans,Cupriavidus metallidurans
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,pauculus,CUPR_PAUC,True,,Cupriavidus pauculus,Cupriavidus pauculus
Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,acnes,CUTI_ACNE,True,p,Cutibacterium acnes,Cutibacterium acnes
Bacteria,Actinobacteriota,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,avidum,CUTI_AVID,True,p,Cutibacterium avidum,Cutibacterium avidum
,,,,,Delftia,acidovorans,DELF_ACID,True,p,Delftia acidovorans,Delftia acidovorans
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,desulfuricans,DESU_DESU,True,,Desulfovibrio desulfuricans,Desulfovibrio desulfuricans
Bacteria,Desulfobacterota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,legallii,DESU_LEGA,True,,Desulfovibrio legallii,Desulfovibrio legallii
Bacteria,Firmicutes,Negativicutes,Veillonellales,Dialisteraceae,Dialister,micraerophilus,DIAL_MICR,True,n,Dialister micraerophilus,Dialister micraerophilus
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Eikenella,corrodens,EIKE_CORR,True,,Eikenella corrodens,Eikenella corrodens
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Elizabethkingia,(chryseobacterium) menigoseptica,ELIZ_(CHR,False,,Elizabethkingia (chryseobacterium) menigoseptica,Elizabethkingia (chryseobacterium) menigoseptica
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,aerogenes,ENTE_AERO,True,n,Enterobacter aerogenes,Enterobacter aerogenes
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,amnigenus 2 ,ENTE_AMNI,False,n,Enterobacter amnigenus 2 ,Enterobacter amnigenus 2 
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,asburiae,ENTE_ASBU,True,n,Enterobacter asburiae,Enterobacter asburiae
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,cancerogenus,ENTE_CANC,True,n,Enterobacter cancerogenus,Enterobacter cancerogenus
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,cloacae,ENTE_CLOA,True,n,Enterobacter cloacae,Enterobacter cloacae
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,cloacae complex,ENTE_CLOAC,False,n,Enterobacter cloacae complex,Enterobacter cloacae complex
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,gergoviae,ENTE_GERG,False,n,Enterobacter gergoviae,Enterobacter gergoviae
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,species,ENTE_SPEC,False,n,Enterobacter species,Enterobacter species
,,,,,Enterobacteriaceae,,ENTEROBACTERIACEAE,False,,Enterobacteriaceae,Enterobacteriaceae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,avium,ENTE_AVIU,True,p,Enterococcus avium,Enterococcus avium
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,casseliflavus,ENTE_CASS,True,p,Enterococcus casseliflavus,Enterococcus casseliflavus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,durans,ENTE_DURA,True,p,Enterococcus durans,Enterococcus durans
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecalis,ENTE_FAEC,True,p,Enterococcus faecalis,Enterococcus faecalis
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,faecium,ENTE_FAECI,True,p,Enterococcus faecium,Enterococcus faecium
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,gallinarum,ENTE_GALL,True,p,Enterococcus gallinarum,Enterococcus gallinarum
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,hirae,ENTE_HIRA,True,p,Enterococcus hirae,Enterococcus hirae
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,raffinosus,ENTE_RAFF,True,p,Enterococcus raffinosus,Enterococcus raffinosus
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,sp.,ENTE_SP.,False,p,Enterococcus sp.,Enterococcus sp.
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,coli,ESCH_COLI,True,n,Escherichia coli,Escherichia coli
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,coli o157:h7,ESCHE_COLI,False,n,Escherichia coli o157:h7,Escherichia coli o157:h7
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,fergusonii,ESCH_FERG,True,n,Escherichia fergusonii,Escherichia fergusonii
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,hermannii,ESCH_HERMA,True,n,Escherichia hermannii,Escherichia hermannii
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,species,ESCH_SPEC,False,n,Escherichia species,Escherichia species
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,vulneris,ESCH_VULN,False,n,Escherichia vulneris,Escherichia vulneris
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,nucleatum,FUSO_NUCL,True,n,Fusobacterium nucleatum,Fusobacterium nucleatum
,,,,,Gamma(I.E.,non-hemolytic) streptococcus,GAMM_NON-,False,,Gamma(i.e. non-hemolytic) streptococcus,Gamma(i.e. non-hemolytic) streptococcus
Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,bergeri,GEME_BERG,True,,Gemella bergeri,Gemella bergeri
Bacteria,Firmicutes,Bacilli,Staphylococcales,Gemellaceae,Gemella,species,GEME_SPEC,False,,Gemella species,Gemella species
,,,,,Gram,negative rod #2,G_N_R_#,False,,Gram negative rod #2,Gram negative rod #2
,,,,,Gram,negative rod(s),GRAM_NEGA,False,,Gram negative rod(s),Gram negative rod(s)
,,,,,Gram,positive bacteria,GRAM_POSI,False,,Gram positive bacteria,Gram positive bacteria
,,,,,Gram,positive coccus(cocci),GRAM_POSIT,False,,Gram positive coccus(cocci),Gram positive coccus(cocci)
,,,,,Gram,positive rods,GRAM_POSITI,False,,Gram positive rods,Gram positive rods
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pasteurellaceae,Haemophilus,"influenzae, beta-lactamase negative",H_I_B_N,False,,"Haemophilus influenzae, beta-lactamase negative","Haemophilus influenzae, beta-lactamase negative"
