genus,species,gram_stain
Spirochaeta,,n
Spirochaetaceae,,n
Sporomusa,,n
Sporosarcina,aquimarina,p
Sporosarcina,,p
Staphylococcus,aureus,p
Staphylococcus,borealis,p
Staphylococcus,capitis,p
Staphylococcus,caprae,p
Staphylococcus,epidermidis,p
Staphylococcus,haemolyticus,p
Staphylococcus,hominis,p
Staphylococcus,lugdunensis,p
Staphylococcus,lutrae,p
Staphylococcus,muscae,p
Staphylococcus,,p
Stenotrophomonas,nitritireducens,n
Stenotrophomonas,,n
Streptococcus,bovis,p
Streptococcus,dysgalactiae sequisimilis,p
Streptococcus,milleri,p
Streptococcus,parasanguis,p
Streptococcus,sanguis,p
Streptococcus,viridans,p
Streptococcus,,p
Thermotoga,neapolitana,n
Thorselliaceae,,n
Trimeric,autotransporter adhesin,n
Vampirococcus,,n
Veillonella,,n
Verminephrobacter,,n
Vibrio,adaptatus,n
Vibrio,aerogenes,n
Vibrio,azasii,n
Vibrio,campbellii,n
Vibrio,cholerae,n
Victivallis,vadensis,n
Vitreoscilla,,n
Wolbachia,,n
Yersinia,enterocolitica,n
Yersinia,,n
Yersiniaceae,,n
Zymophilus,,n
