organismCode,antibioticCode,freq
A_GMORBILLO,ACLI,1
A_LNI,AAMO,1
A_LEUCONOS,AAMO,1
A_ISOLATED,AAMO,1
A_ISOLATED,AAMI,1
SAUR,AGEN,1
QMCOL,AMTZ,1
RMUC,ACLI,1
SAUR,AFUS,1
A_CHRYSEOM,AAMI,1
A_EAVIUM,ACLI,1
STAPH,AGEN,1
AVIR,ACLI,1
AHS,ACIP,1
SSAN,ACLI,1
SSON,AAMO,1
STAPH,AAMI,1
STAPH,ACHL,1
ACINE,AMTZ,1
ACINE,ACOT,1
SORA,AERY,1
ACINE,AAZT,1
VEILL,AMTZ,1
ACINE,AAMPC,1
ABAU,ATAZ,1
ABAU,AMTZ,1
ABAU,ACOT,1
ABAU,ACLI,1
A_AHAEMOLYT,AAMO,1
SORA,ABAC,1
A_EAMNIGENU,AAMI,1
A_BORDETEL,AAMO,1
SAUR,AOXA,1
A_CSTREPTOC,ACLI,1
SCON,AERY,1
A_CSEPTICUM,AMTZ,1
A_CPSEUDODI,ACIP,1
A_CGUILLIER,AAMPH,1
A_BSNAG,ACLI,1
A_ASCHAALII,ACLI,1
A_AHAEMOLYT,ACLI,1
A_ASCHAALII,ACIP,1
A_ANIAEI,ACLI,1
A_ALCALIGE,ACAZ,1
SMIL,ACHL,1
SMIL,ACIP,1
A_ALCALIGE,AAMI,1
SMIL,AMTZ,1
A_MIXED GR,ACLI,1
PORI,AAZT,1
A_MNI,ACIP,1
CKRU,AAMPH,1
CPER,ACLI,1
KOXY,ACIP,1
CORYN,AMTZ,1
CORYN,AAMO,1
CORYN,AAMI,1
COLIF,AAUG,1
CNS,AMTZ,1
CNS,ABAC,1
MCAT,AAMI,1
CKOS,ACLI,1
A_NGAEC,ACIP,1
CKOS,ACIP,1
CITRO,ACIP,1
CIND,AAMI,1
BHSCG,AMTZ,1
MICROC,ACLI,1
BHSCG,ACELX,1
MLFC,AAMO,1
BHSCG,ABAC,1
BHSCG,AAMO,1
CSTR,ACLI,1
CSTR,APEN,1
KLEBS,AMER,1
KLEBS,AERT,1
EFAS,AGEN,1
ENTC,AMTZ,1
EFAS,ACLI,1
ENTC,ATIG,1
ECOR,AAMI,1
FNEC,AMTZ,1
GEM,ACLI,1
GTTN,AAMPH,1
ECOL,AMER,1
HAEMO,AAUG,1
ECOL,AIMP,1
ECOL,ACIP,1
HHAE,AAMO,1
ECOL,AAUG,1
ECASS,AAMO,1
HPYL,AAMO,1
DIPHT,ACHL,1
DIPHT,AAMI,1
KLEBS,ACIP,1
BHSC,ABAC,1
BHSB,APEN,1
BHSB,AMTZ,1
A_RTERRIGEN,AAMO,1
A_PREVOTEL,ACLI,1
A_PEPTOSTR,AMTZ,1
A_PASTEURE,AAUG,1
A_OANTHROPI,ACAZ,1
A_OANTHROPI,AAMO,1
A_NYI,AERY,1
A_NYI,ACHL,1
A_NSF,ACOT,1
PBIV,AAUG,1
A_NSF,ACLI,1
PLUT,AAMI,1
A_NNGOCI,AMTZ,1
A_NNGOCI,ACLI,1
A_NNGOCI,ACIP,1
PMUL,AAUG,1
A_NMUCOSA,AAMO,1
PORI,AAMO,1
ENTC,AERY,1
A_NGNI,ACIP,1
A_RHODOCOC,ACIP,1
A_SFLORA,AAZT,1
BHSB,ACELX,1
PAENI,AAMI,1
NEISS,AAMI,1
BHSA,APEN,1
BHSA,ABAC,1
BHSA,AAMO,1
NEISS,ACLA,1
NFLA,AAMO,1
NGON,AAMO,1
BCEP,AAMO,1
NGON,ACONE,1
BACTE,ACLI,1
BACIL,AAMI,1
A_TMUCOIDES,A_KETOCONA,1
NLF,ACIP,1
NLF,ACLI,1
NMEN,AAMO,1
A_SVIRIDANS,AERY,1
A_SPHINGOM,AAMI,1
A_SFLORA,AERY,1
PACN,ACIP,1
COLIF,AGEN,1
